exerciseName,exerciseType,rep,holdTime,set,targetArea,difficulty,equipmentNeeded,aiTrackingEnabled,description,demoVideo,image,intensity,intended_effects,contraindications,movement_plane,progressions
neck flexion (isometric),repetition,20.0,,3,neck,hard,None,True,Neck Flexion (Isometric): Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/1.mp4,https://example.com/image/1.jpg,high,"mobility, postural_control",avoid_for_acute_injury,sagittal,none
external rotation (standing),repetition,8.0,,3,shoulder,medium,Resistance Band,True,External Rotation (Standing): Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/2.mp4,https://example.com/image/2.jpg,high,"mobility, strengthening",avoid_overhead_if_painful,sagittal,none
forearm pronation (isometric) - right,hold,,60.0,3,elbow,easy,None,True,Forearm Pronation (Isometric) - Right: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/3.mp4,https://example.com/image/3.jpg,low,mobility,none,sagittal,intermediate variation
wrist extension stretch - right,repetition,10.0,,3,wrist/hand,medium,Dumbbell,True,Wrist Extension Stretch - Right: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/4.mp4,https://example.com/image/4.jpg,high,"mobility, neural_glide",none,sagittal,none
pelvic tilt,repetition,20.0,,3,spine/core,medium,Foam Roller,True,Pelvic Tilt: Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/5.mp4,https://example.com/image/5.jpg,high,"stability, posture_control",avoid_heavy_loads,sagittal,none
standing hip extension (standing) - left,repetition,6.0,,3,hip,hard,Foam Roller,True,Standing Hip Extension (Standing) - Left: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/6.mp4,https://example.com/image/6.jpg,high,"mobility, strengthening",none,sagittal,none
heel slides (slow),repetition,20.0,,3,knee,hard,Resistance Band,True,Heel Slides (Slow): Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/7.mp4,https://example.com/image/7.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
balance on single leg,repetition,10.0,,3,ankle/foot,hard,Resistance Band,True,Balance on Single Leg: Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/8.mp4,https://example.com/image/8.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller (slow),repetition,6.0,,3,chest,medium,None,True,Thoracic Extension on Foam Roller (Slow): Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/9.mp4,https://example.com/image/9.jpg,high,mobility,none,sagittal,none
pelvic clock (slow),hold,,60.0,3,pelvis,easy,None,True,Pelvic Clock (Slow): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/10.mp4,https://example.com/image/10.jpg,low,mobility,none,sagittal,intermediate variation
